timestamp,sog [kn],lat [deg],lon[deg],STATE
2023-07-18T18:25:01,0.0,-7.196105,112.704771667,P4
2023-07-18T18:27:59,0.0,-7.19611,112.704776667,P4
2023-07-18T18:31:05,0.0,-7.19618833333,112.704803333,P4
2023-07-18T18:34:04,0.0,-7.19615833333,112.70479,P4
2023-07-18T18:37:05,0.0,-7.19612,112.70476,P4
2023-07-18T18:40:03,0.0,-7.19611,112.70476,P4
2023-07-18T18:43:04,0.0,-7.19611333333,112.704751667,P4
2023-07-18T18:46:04,0.0,-7.19610666667,112.70476,P4
2023-07-18T18:49:02,0.0,-7.19612,112.70475,P4
2023-07-18T18:52:06,0.0,-7.19612,112.704748333,P4
2023-07-18T18:58:05,0.0,-7.19611333333,112.704765,P4
2023-07-18T19:01:03,0.0,-7.19612666667,112.704748333,P4
2023-07-18T19:04:05,0.0,-7.19611833333,112.704775,P4
2023-07-18T19:07:05,0.0,-7.196125,112.704768333,P4
2023-07-18T19:10:00,0.0,-7.196125,112.704753333,P4
2023-07-18T19:13:06,0.0,-7.19612666667,112.704783333,P4
2023-07-18T19:16:03,0.0,-7.19614166667,112.704791667,P4
2023-07-18T19:19:07,0.0,-7.19611833333,112.704753333,P4
2023-07-18T19:22:00,0.0,-7.196125,112.704778333,P4
2023-07-18T19:25:08,0.0,-7.19606,112.704798333,P4
2023-07-18T19:28:00,0.0,-7.19612333333,112.704738333,P4
2023-07-18T19:31:08,0.0,-7.19612333333,112.704715,P4
2023-07-18T19:34:04,0.0,-7.19611333333,112.704785,P4
2023-07-18T19:37:00,0.0,-7.19609833333,112.704811667,P4
2023-07-18T19:40:04,0.0,-7.19612666667,112.704705,P4
2023-07-18T19:43:02,0.0,-7.19615333333,112.704738333,P4
2023-07-18T19:46:04,0.0,-7.19613,112.704801667,P4
2023-07-18T19:49:03,0.0,-7.1961,112.704723333,P4
2023-07-18T19:52:03,0.0,-7.19611333333,112.704693333,P4
2023-07-18T19:55:04,0.0,-7.19613833333,112.704781667,P4
2023-07-18T19:58:02,0.0,-7.19612166667,112.704765,P4
2023-07-18T20:01:04,0.0,-7.19612333333,112.704755,P4
2023-07-18T20:04:04,0.0,-7.196115,112.70474,P4
2023-07-18T20:07:04,0.0,-7.196115,112.70476,P4
2023-07-18T20:13:04,0.0,-7.19611333333,112.704776667,P4
2023-07-18T20:16:08,0.0,-7.19613333333,112.70478,P4
2023-07-18T20:19:04,0.0,-7.19612,112.704755,P4
2023-07-18T20:22:06,0.0,-7.19612666667,112.704745,P4
2023-07-18T20:25:02,0.0,-7.19611333333,112.70473,P4
2023-07-18T20:28:06,0.0,-7.19612166667,112.704783333,P4
2023-07-18T20:31:02,0.0,-7.19610166667,112.70478,P4
2023-07-18T20:34:06,0.0,-7.19608833333,112.704736667,P4
2023-07-18T20:37:03,0.0,-7.19609,112.704753333,P4
2023-07-18T20:40:06,0.0,-7.19612,112.704765,P4
2023-07-18T20:43:02,0.0,-7.19612166667,112.704758333,P4
2023-07-18T20:46:00,0.0,-7.19611333333,112.704783333,P4
