timestamp;lat [deg];lon [deg];sog [kn];draught [m];heading [deg];cog [deg];STATE;GERAKAN
2023-09-04T18:13:44;-7.185328333;112.68608;0;-1;306;129.5;P2;
2023-09-04T18:16:41;-7.185316667;112.6859783;0;-1;306;129.5;P2;
2023-09-04T18:19:43;-7.185316667;112.68604;0;-1;306;129.5;P2;
2023-09-04T18:22:43;-7.185335;112.6860467;0;-1;306;129.5;P2;
2023-09-04T18:28:45;-7.185326667;112.68601;0;-1;305;129.5;P2;
2023-09-04T18:31:45;-7.185325;112.6859983;0;-1;305;129.5;P2;
2023-09-04T18:34:46;-7.185281667;112.6859733;0;-1;305;129.5;P2;
2023-09-04T18:37:45;-7.185311667;112.68604;0;-1;305;129.5;P2;
2023-09-04T18:40:46;-7.185308333;112.6860467;0;-1;305;129.5;P2;
2023-09-04T18:43:46;-7.185295;112.6860217;0;-1;305;129.5;P2;
2023-09-04T18:49:46;-7.185298333;112.6860017;0;-1;305;129.5;P2;
2023-09-04T18:52:46;-7.185281667;112.68598;0;-1;305;129.5;P2;
2023-09-04T18:55:46;-7.18529;112.6860133;0;-1;305;129.5;P2;
2023-09-04T18:58:44;-7.185308333;112.6860467;0;-1;305;129.5;P2;
2023-09-04T19:01:45;-7.185293333;112.6860367;0;-1;306;129.5;P2;
2023-09-04T19:04:41;-7.185318333;112.6860467;0;-1;306;129.5;P2;
2023-09-04T19:07:46;-7.185305;112.686055;0;-1;306;129.5;P2;
2023-09-04T19:10:44;-7.1853;112.6860033;0;-1;306;129.5;P2;
2023-09-04T19:13:47;-7.185295;112.6860367;0;-1;306;129.5;P2;
2023-09-04T19:16:46;-7.185306667;112.68601;0;-1;306;129.5;P2;
2023-09-04T19:19:46;-7.185306667;112.6860583;0;-1;306;129.5;P2;
2023-09-04T19:22:46;-7.185296667;112.68604;0;-1;305;129.5;P2;
2023-09-04T19:25:41;-7.185298333;112.6860583;0;-1;305;129.5;P2;
2023-09-04T19:28:46;-7.185296667;112.6860333;0;-1;305;129.5;P2;
2023-09-04T19:34:47;-7.18529;112.6860067;0;-1;305;129.5;P2;
2023-09-04T19:37:41;-7.185305;112.6860383;0;-1;305;129.5;P2;
2023-09-04T19:40:46;-7.18529;112.6860283;0;-1;305;129.5;P2;
2023-09-04T19:43:46;-7.185306667;112.686075;0;-1;305;129.5;P2;
2023-09-04T19:46:41;-7.185308333;112.6860467;0;-1;305;129.5;P2;
2023-09-04T19:52:45;-7.185308333;112.6860433;0;-1;305;129.5;P2;
2023-09-04T19:55:43;-7.1853;112.6860783;0;-1;305;129.5;P2;
2023-09-04T19:58:44;-7.185308333;112.6860383;0;-1;305;129.5;P2;
2023-09-04T20:01:44;-7.185315;112.6860317;0;-1;305;129.5;P2;
2023-09-04T20:04:45;-7.185321667;112.6860383;0;-1;305;129.5;P2;
2023-09-04T20:07:46;-7.185341667;112.6860467;0;-1;305;129.5;P2;
2023-09-04T20:10:46;-7.185313333;112.6860467;0;-1;306;129.5;P2;
2023-09-04T20:13:45;-7.185323333;112.686065;0;-1;306;129.5;P2;
2023-09-04T20:19:45;-7.185315;112.686045;0;-1;306;129.5;P2;
2023-09-04T20:22:46;-7.185316667;112.686065;0;-1;305;129.5;P2;
2023-09-04T20:25:45;-7.185315;112.686025;0;-1;305;129.5;P2;
2023-09-04T20:28:45;-7.185303333;112.6860267;0;-1;305;129.5;P2;
2023-09-04T20:31:44;-7.185335;112.6860733;0;-1;305;129.5;P2;
2023-09-04T20:34:45;-7.185328333;112.6860583;0;-1;305;129.5;P2;
2023-09-04T20:37:43;-7.185315;112.6860283;0;-1;305;129.5;P2;
2023-09-04T20:40:45;-7.185328333;112.6860217;0;-1;305;129.5;P2;
2023-09-04T20:43:46;-7.185331667;112.6860583;0;-1;305;129.5;P2;
2023-09-04T20:46:47;-7.185335;112.6860533;0;-1;305;129.5;P2;
2023-09-04T20:52:41;-7.185311667;112.6860017;0;-1;305;129.5;P2;
2023-09-04T20:58:45;-7.185318333;112.6860217;0;-1;306;129.5;P2;
2023-09-04T21:04:43;-7.185311667;112.686015;0;-1;306;129.5;P2;
2023-09-04T21:07:44;-7.185325;112.6860417;0;-1;306;129.5;P2;
2023-09-04T21:10:44;-7.185311667;112.686025;0;-1;306;129.5;P2;
2023-09-04T21:13:41;-7.185301667;112.6860217;0;-1;306;129.5;P2;
2023-09-04T21:16:44;-7.185311667;112.6860283;0;-1;306;129.5;P2;
2023-09-04T21:19:47;-7.185303333;112.6860383;0;-1;305;129.5;P2;
2023-09-04T21:22:46;-7.185306667;112.68604;0;-1;305;129.5;P2;
2023-09-04T21:25:47;-7.185306667;112.6860317;0;-1;305;129.5;P2;
2023-09-04T21:28:42;-7.185305;112.6860167;0;-1;305;129.5;P2;
2023-09-04T21:34:44;-7.185316667;112.6860567;0;-1;305;129.5;P2;
2023-09-04T21:40:45;-7.185306667;112.6860567;0;-1;305;129.5;P2;
2023-09-04T21:43:51;-7.185318333;112.68604;0;-1;305;129.5;P2;
2023-09-04T21:46:45;-7.185308333;112.6860483;0;-1;305;129.5;P2;
2023-09-04T21:49:49;-7.185305;112.6860533;0;-1;305;129.5;P2;
2023-09-04T21:52:47;-7.185311667;112.68604;0;-1;305;129.5;P2;
2023-09-04T21:55:50;-7.185316667;112.6860533;0;-1;306;129.5;P2;
2023-09-04T21:58:46;-7.185316667;112.6860467;0;-1;306;129.5;P2;
2023-09-04T22:01:51;-7.185296667;112.68602;0;-1;306;129.5;P2;
2023-09-04T22:04:47;-7.18529;112.6860533;0;-1;306;129.5;P2;
2023-09-04T22:07:50;-7.185301667;112.6860333;0;-1;306;129.5;P2;
2023-09-04T22:10:47;-7.185295;112.68604;0;-1;306;129.5;P2;
2023-09-04T22:13:49;-7.185288333;112.6860367;0;-1;306;129.5;P2;
2023-09-04T22:16:49;-7.185295;112.686015;0;-1;305;129.5;P2;
2023-09-04T22:19:49;-7.185328333;112.6860333;0;-1;305;129.5;P2;
2023-09-04T22:22:47;-7.185306667;112.6860383;0;-1;305;129.5;P2;
2023-09-04T22:28:46;-7.185296667;112.68604;0;-1;305;129.5;P2;
2023-09-04T22:31:47;-7.185318333;112.6860467;0;-1;305;129.5;P2;
2023-09-04T22:34:45;-7.18532;112.6860033;0;-1;305;129.5;P2;
2023-09-04T22:40:46;-7.185336667;112.686045;0;-1;305;129.5;P2;
2023-09-04T22:43:48;-7.185306667;112.686045;0;-1;305;129.5;P2;
2023-09-04T22:46:45;-7.18533;112.6860133;0;-1;305;129.5;P2;
2023-09-04T22:49:48;-7.185318333;112.6860267;0;-1;306;129.5;P2;
2023-09-04T22:52:45;-7.185286667;112.6860367;0;-1;306;129.5;P2;
2023-09-04T22:55:46;-7.185318333;112.6859983;0;-1;306;129.5;P2;
2023-09-04T22:58:45;-7.185323333;112.68604;0;-1;306;129.5;P2;
2023-09-04T23:01:46;-7.185306667;112.6860133;0;-1;306;129.5;P2;
2023-09-04T23:04:45;-7.185308333;112.6860017;0;-1;306;129.5;P2;
2023-09-04T23:07:44;-7.1853;112.6860017;0;-1;305;129.5;P2;
2023-09-04T23:10:46;-7.185293333;112.6859917;0;-1;305;129.5;P2;
2023-09-04T23:13:47;-7.185323333;112.68601;0;-1;305;129.5;P2;
2023-09-04T23:16:47;-7.185305;112.6860217;0;-1;305;129.5;P2;
2023-09-04T23:22:48;-7.185315;112.6860067;0;-1;305;129.5;P2;
2023-09-04T23:25:48;-7.18533;112.6860333;0;-1;305;129.5;P2;
2023-09-04T23:28:50;-7.185328333;112.68602;0;-1;305;129.5;P2;
2023-09-04T23:31:47;-7.18532;112.6860167;0;-1;305;129.5;P2;
2023-09-04T23:34:42;-7.185341667;112.6860267;0;-1;305;129.5;P2;
2023-09-04T23:37:49;-7.185318333;112.6860283;0;-1;305;129.5;P2;
2023-09-04T23:40:44;-7.185318333;112.68601;0;-1;305;129.5;P2;
2023-09-04T23:43:47;-7.185293333;112.6860217;0;-1;305;129.5;P2;
2023-09-04T23:46:44;-7.185323333;112.68601;0;-1;305;129.5;P2;
2023-09-04T23:49:49;-7.185335;112.68603;0;-1;305;129.5;P2;
2023-09-04T23:52:46;-7.185323333;112.6860433;0;-1;305;129.5;P2;
2023-09-04T23:55:48;-7.185313333;112.6860283;0;-1;305;129.5;P2;
2023-09-04T23:58:46;-7.185248333;112.685955;0;-1;305;129.5;P2;
2023-09-05T00:01:47;-7.185286667;112.6859983;0;-1;305;129.5;P2;
2023-09-05T00:04:45;-7.185238333;112.68588;0;-1;305;129.5;P2;
2023-09-05T00:07:42;-7.185281667;112.6860133;0;-1;305;129.5;P2;
2023-09-05T00:10:45;-7.18527;112.6859983;0;-1;305;129.5;P2;
2023-09-05T00:13:46;-7.18529;112.6860333;0;-1;305;129.5;P2;
2023-09-05T00:16:44;-7.185276667;112.685985;0;-1;305;129.5;P2;
2023-09-05T00:19:45;-7.185285;112.6860033;0;-1;305;129.5;P2;
2023-09-05T00:22:46;-7.18529;112.6859883;0;-1;305;129.5;P2;
2023-09-05T00:25:47;-7.185303333;112.68602;0;-1;305;129.5;P2;
2023-09-05T00:28:46;-7.185275;112.6860367;0;-1;305;129.5;P2;
2023-09-05T00:31:47;-7.185293333;112.68604;0;-1;305;129.5;P2;
2023-09-05T00:34:48;-7.18528;112.6860233;0;-1;305;129.5;P2;
2023-09-05T00:37:46;-7.185253333;112.685965;0;-1;305;129.5;P2;
2023-09-05T00:40:49;-7.185268333;112.686025;0;-1;305;129.5;P2;
2023-09-05T00:43:48;-7.185271667;112.686;0;-1;305;129.5;P2;
2023-09-05T00:46:49;-7.185278333;112.68601;0;-1;305;129.5;P2;
2023-09-05T00:49:48;-7.185275;112.68601;0;-1;305;129.5;P2;
2023-09-05T00:52:47;-7.185288333;112.6860467;0;-1;305;129.5;P2;
2023-09-05T00:58:47;-7.185316667;112.6860483;0;-1;305;129.5;P2;
2023-09-05T01:01:46;-7.185311667;112.686015;0;-1;305;129.5;P2;
